Frequency,Monetary,Recency,R_score,F_score,M_score,RFM_Score,Segment,Churn
4,728.02,0,5,4,3,543,Loyal Customers,0
26,12627.94,2,5,5,5,555,Champions,0
5,220.10000000000002,3,5,4,1,541,Loyal Customers,0
1,58.08,178,2,1,1,211,Lost Customers,1
11,28337.38,11,5,5,5,555,Champions,0
9,3613.63,125,2,5,5,255,At Risk,0
2,303.75,3,5,2,2,522,New  Customers,0
2,416.08000000000004,157,2,2,2,222,Lost Customers,1
97,58762.08,2,5,5,5,555,Champions,0
14,8910.82,8,5,5,5,555,Champions,0
1,345.82,27,4,1,2,412,New  Customers,0
5,477.83,70,3,4,2,342,Loyal Customers,0
8,7832.47,275,1,5,5,155,At Risk,0
12,1927.3200000000002,20,4,5,4,454,Champions,0
1,74.39999999999999,70,3,1,1,311,Lost Customers,1
10,6003.22,32,4,5,5,455,Champions,0
28,28882.44,0,5,5,5,555,Champions,0
1,207.35999999999999,98,2,1,1,211,Lost Customers,1
1,101.19,233,1,1,1,111,Lost Customers,1
24,6424.09,0,5,5,5,555,Champions,0
1,243.94,39,3,1,1,311,Lost Customers,1
6,1098.48,2,5,5,4,554,Champions,0
1,76.5,132,2,1,1,211,Lost Customers,1
4,1531.6200000000001,43,3,4,4,344,Loyal Customers,0
1,350.06,372,1,1,2,112,Lost Customers,1
2,786.54,59,3,2,3,323,Lost Customers,1
7,1488.67,30,4,5,4,454,Champions,0
24,12245.960000000001,0,5,5,5,555,Champions,0
4,2294.78,11,5,4,5,545,Champions,0
1,501.14,137,2,1,3,213,Lost Customers,1
8,984.91,21,4,5,4,454,Champions,0
5,1197.81,19,4,4,4,444,Champions,0
1,30.599999999999998,238,1,1,1,111,Lost Customers,1
1,283.73,268,1,1,2,112,Lost Customers,1
2,922.39,93,2,2,3,223,Lost Customers,1
3,3756.33,89,2,3,5,235,At Risk,0
8,2099.64,4,5,5,5,555,Champions,0
1,259.17,77,2,1,2,212,Lost Customers,1
1,64.0,93,2,1,1,211,Lost Customers,1
3,1073.3,22,4,3,4,434,Loyal Customers,0
1,77.3,261,1,1,1,111,Lost Customers,1
2,109.8,273,1,2,1,121,Lost Customers,1
4,1793.58,85,2,4,4,244,At Risk,0
1,3096.0,196,1,1,5,115,Lost Customers,1
5,2607.61,55,3,4,5,345,Loyal Customers,0
8,3603.29,10,5,5,5,555,Champions,0
6,962.39,21,4,5,4,454,Champions,0
7,5064.94,15,4,5,5,455,Champions,0
3,422.47,107,2,3,2,232,At Risk,0
5,2388.75,84,2,4,5,245,At Risk,0
1,307.09,18,4,1,2,412,New  Customers,0
1,110.95,332,1,1,1,111,Lost Customers,1
4,618.52,39,3,4,3,343,Loyal Customers,0
1,228.91,25,4,1,1,411,New  Customers,0
4,712.8000000000001,9,5,4,3,543,Loyal Customers,0
12,3683.26,28,4,5,5,455,Champions,0
4,1676.06,13,4,4,4,444,Champions,0
1,1257.8700000000001,295,1,1,4,114,Lost Customers,1
1,486.22,5,5,1,2,512,New  Customers,0
4,971.76,32,4,4,4,444,Champions,0
4,1741.22,48,3,4,4,344,Loyal Customers,0
4,1201.06,94,2,4,4,244,At Risk,0
4,1429.35,8,5,4,4,544,Champions,0
1,91.8,21,4,1,1,411,New  Customers,0
1,112.75,312,1,1,1,111,Lost Customers,1
4,1688.29,121,2,4,4,244,At Risk,0
2,1021.48,45,3,2,4,324,Lost Customers,1
1,417.2,282,1,1,2,112,Lost Customers,1
4,791.33,18,4,4,3,443,Loyal Customers,0
4,1299.59,35,3,4,4,344,Loyal Customers,0
2,712.88,63,3,2,3,323,Lost Customers,1
1,108.81,26,4,1,1,411,New  Customers,0
3,468.41,21,4,3,2,432,Loyal Customers,0
2,353.65,3,5,2,2,522,New  Customers,0
3,2742.82,15,4,3,5,435,Loyal Customers,0
1,481.49,45,3,1,2,312,Lost Customers,1
1,282.45,64,3,1,2,312,Lost Customers,1
11,5725.47,25,4,5,5,455,Champions,0
1,121.18,44,3,1,1,311,Lost Customers,1
9,3957.78,7,5,5,5,555,Champions,0
10,1668.95,14,4,5,4,454,Champions,0
1,71.4,267,1,1,1,111,Lost Customers,1
3,1575.89,39,3,3,4,334,Loyal Customers,0
1,236.02,336,1,1,1,111,Lost Customers,1
1,114.60000000000001,10,5,1,1,511,New  Customers,0
2,260.68,18,4,2,2,422,New  Customers,0
2,911.94,94,2,2,3,223,Lost Customers,1
1,112.08,60,3,1,1,311,Lost Customers,1
1,60.7,135,2,1,1,211,Lost Customers,1
4,1797.78,10,5,4,4,544,Champions,0
6,3401.2400000000002,9,5,5,5,555,Champions,0
38,9817.12,3,5,5,5,555,Champions,0
4,870.09,18,4,4,3,443,Loyal Customers,0
4,869.46,9,5,4,3,543,Loyal Customers,0
2,250.26000000000002,14,4,2,2,422,New  Customers,0
6,1217.65,58,3,5,4,354,Loyal Customers,0
8,5891.61,29,4,5,5,455,Champions,0
1,353.48,93,2,1,2,212,Lost Customers,1
3,1095.42,9,5,3,4,534,Loyal Customers,0
3,786.83,19,4,3,3,433,Loyal Customers,0
5,1520.58,56,3,4,4,344,Loyal Customers,0
1,333.74,267,1,1,2,112,Lost Customers,1
3,533.98,121,2,3,3,233,At Risk,0
1,62.63999999999999,126,2,1,1,211,Lost Customers,1
4,819.2900000000001,77,2,4,3,243,At Risk,0
2,847.41,239,1,2,3,123,Lost Customers,1
2,163.20000000000002,199,1,2,1,121,Lost Customers,1
2,2155.95,59,3,2,5,325,Lost Customers,1
7,6463.84,2,5,5,5,555,Champions,0
1,108.21000000000001,272,1,1,1,111,Lost Customers,1
1,257.7,201,1,1,2,112,Lost Customers,1
1,358.0,80,2,1,2,212,Lost Customers,1
1,160.95,225,1,1,1,111,Lost Customers,1
14,2755.63,3,5,5,5,555,Champions,0
7,1328.35,12,5,5,4,554,Champions,0
2,605.12,73,2,2,3,223,Lost Customers,1
1,1031.07,211,1,1,4,114,Lost Customers,1
2,744.85,24,4,2,3,423,New  Customers,0
4,700.73,16,4,4,3,443,Loyal Customers,0
1,329.56,261,1,1,2,112,Lost Customers,1
4,663.65,95,2,4,3,243,At Risk,0
3,270.40000000000003,111,2,3,2,232,At Risk,0
1,585.12,202,1,1,3,113,Lost Customers,1
1,121.74000000000001,92,2,1,1,211,Lost Customers,1
1,430.5,50,3,1,2,312,Lost Customers,1
6,1961.52,17,4,5,4,454,Champions,0
4,501.12,17,4,4,3,443,Loyal Customers,0
2,465.68,124,2,2,2,222,Lost Customers,1
3,711.41,91,2,3,3,233,At Risk,0
2,1030.4,156,2,2,4,224,Lost Customers,1
2,399.51,8,5,2,2,522,New  Customers,0
3,672.83,11,5,3,3,533,Loyal Customers,0
1,283.18,61,3,1,2,312,Lost Customers,1
1,557.62,60,3,1,3,313,Lost Customers,1
2,944.1,268,1,2,4,124,Lost Customers,1
1,200.29,262,1,1,1,111,Lost Customers,1
35,7436.93,0,5,5,5,555,Champions,0
5,2092.66,52,3,4,5,345,Loyal Customers,0
12,3834.2599999999998,10,5,5,5,555,Champions,0
19,4521.49,2,5,5,5,555,Champions,0
11,3174.75,17,4,5,5,455,Champions,0
15,5343.28,0,5,5,5,555,Champions,0
1,590.0,365,1,1,3,113,Lost Customers,1
1,211.49,36,3,1,1,311,Lost Customers,1
2,276.56,30,4,2,2,422,New  Customers,0
1,138.98,112,2,1,1,211,Lost Customers,1
2,590.9300000000001,63,3,2,3,323,Lost Customers,1
4,258.4,15,4,4,2,442,Loyal Customers,0
1,542.73,40,3,1,3,313,Lost Customers,1
1,137.75,77,2,1,1,211,Lost Customers,1
3,798.46,121,2,3,3,233,At Risk,0
3,1132.14,17,4,3,4,434,Loyal Customers,0
2,93.66,59,3,2,1,321,Lost Customers,1
1,201.19,330,1,1,1,111,Lost Customers,1
4,2709.12,22,4,4,5,445,Champions,0
1,361.11,155,2,1,2,212,Lost Customers,1
2,578.9399999999999,38,3,2,3,323,Lost Customers,1
2,873.74,189,1,2,3,123,Lost Customers,1
1,201.20000000000002,359,1,1,1,111,Lost Customers,1
1,87.4,136,2,1,1,211,Lost Customers,1
4,2089.85,7,5,4,5,545,Champions,0
1,360.0,0,5,1,2,512,New  Customers,0
1,142.5,267,1,1,1,111,Lost Customers,1
1,371.89,168,2,1,2,212,Lost Customers,1
4,618.09,103,2,4,3,243,At Risk,0
1,63.75,154,2,1,1,211,Lost Customers,1
1,300.42,350,1,1,2,112,Lost Customers,1
10,2000.86,3,5,5,4,554,Champions,0
1,15.0,119,2,1,1,211,Lost Customers,1
3,1385.51,22,4,3,4,434,Loyal Customers,0
5,1456.79,6,5,4,4,544,Champions,0
3,1132.03,27,4,3,4,434,Loyal Customers,0
2,598.57,3,5,2,3,523,New  Customers,0
5,1555.32,21,4,4,4,444,Champions,0
3,775.94,1,5,3,3,533,Loyal Customers,0
4,5732.93,36,3,4,5,345,Loyal Customers,0
6,2273.68,65,3,5,5,355,Loyal Customers,0
3,640.76,0,5,3,3,533,Loyal Customers,0
26,10845.550000000001,4,5,5,5,555,Champions,0
4,1532.2,77,2,4,4,244,At Risk,0
2,567.36,71,3,2,3,323,Lost Customers,1
1,199.48000000000002,16,4,1,1,411,New  Customers,0
5,787.85,2,5,4,3,543,Loyal Customers,0
10,7121.95,35,3,5,5,355,Loyal Customers,0
1,675.3,81,2,1,3,213,Lost Customers,1
8,3627.77,38,3,5,5,355,Loyal Customers,0
1,1308.48,315,1,1,4,114,Lost Customers,1
2,789.0,31,4,2,3,423,New  Customers,0
3,1140.93,92,2,3,4,234,At Risk,0
1,350.9,13,4,1,2,412,New  Customers,0
3,3502.32,81,2,3,5,235,At Risk,0
1,795.12,76,2,1,3,213,Lost Customers,1
1,487.02,157,2,1,2,212,Lost Customers,1
1,860.12,200,1,1,3,113,Lost Customers,1
7,10736.48,44,3,5,5,355,Loyal Customers,0
1,775.85,260,1,1,3,113,Lost Customers,1
1,353.43,177,2,1,2,212,Lost Customers,1
3,2511.69,67,3,3,5,335,Loyal Customers,0
1,389.5,287,1,1,2,112,Lost Customers,1
1,341.36,69,3,1,2,312,Lost Customers,1
1,233.76,63,3,1,1,311,Lost Customers,1
1,247.32,10,5,1,1,511,New  Customers,0
2,979.12,15,4,2,4,424,New  Customers,0
1,373.94,65,3,1,2,312,Lost Customers,1
1,397.97999999999996,59,3,1,2,312,Lost Customers,1
1,743.53,70,3,1,3,313,Lost Customers,1
1,674.7,121,2,1,3,213,Lost Customers,1
1,768.24,79,2,1,3,213,Lost Customers,1
1,609.4,256,1,1,3,113,Lost Customers,1
1,439.03,268,1,1,2,112,Lost Customers,1
1,439.56,63,3,1,2,312,Lost Customers,1
4,3090.7400000000002,8,5,4,5,545,Champions,0
2,992.5,17,4,2,4,424,New  Customers,0
1,134.95999999999998,70,3,1,1,311,Lost Customers,1
2,2225.37,33,3,2,5,325,Lost Customers,1
1,56.160000000000004,49,3,1,1,311,Lost Customers,1
2,623.4,256,1,2,3,123,Lost Customers,1
1,308.28000000000003,365,1,1,2,112,Lost Customers,1
1,754.87,371,1,1,3,113,Lost Customers,1
1,378.64,89,2,1,2,212,Lost Customers,1
3,3312.25,60,3,3,5,335,Loyal Customers,0
1,778.65,88,2,1,3,213,Lost Customers,1
3,1019.76,98,2,3,4,234,At Risk,0
3,572.56,25,4,3,3,433,Loyal Customers,0
6,3639.31,31,4,5,5,455,Champions,0
1,222.99,280,1,1,1,111,Lost Customers,1
7,4151.93,30,4,5,5,455,Champions,0
1,534.57,329,1,1,3,113,Lost Customers,1
2,677.1,130,2,2,3,223,Lost Customers,1
3,797.96,10,5,3,3,533,Loyal Customers,0
1,544.08,74,2,1,3,213,Lost Customers,1
1,59.8,203,1,1,1,111,Lost Customers,1
8,2520.02,1,5,5,5,555,Champions,0
1,307.72,184,1,1,2,112,Lost Customers,1
2,1360.99,28,4,2,4,424,New  Customers,0
5,1544.13,72,2,4,4,244,At Risk,0
1,457.34,191,1,1,2,112,Lost Customers,1
2,621.23,126,2,2,3,223,Lost Customers,1
1,75.0,17,4,1,1,411,New  Customers,0
2,252.49,0,5,2,2,522,New  Customers,0
3,572.451,73,2,3,3,233,At Risk,0
62,28117.04,1,5,5,5,555,Champions,0
5,1003.06,23,4,4,4,444,Champions,0
1,213.55,106,2,1,1,211,Lost Customers,1
3,1390.5,133,2,3,4,234,At Risk,0
2,712.5,43,3,2,3,323,Lost Customers,1
2,640.83,4,5,2,3,523,New  Customers,0
18,6127.43,11,5,5,5,555,Champions,0
1,221.06,63,3,1,1,311,Lost Customers,1
2,159.85,149,2,2,1,221,Lost Customers,1
2,1833.71,39,3,2,4,324,Lost Customers,1
1,2626.3,63,3,1,5,315,Lost Customers,1
3,1624.21,107,2,3,4,234,At Risk,0
10,3641.32,0,5,5,5,555,Champions,0
3,582.6,18,4,3,3,433,Loyal Customers,0
1,201.78,9,5,1,1,511,New  Customers,0
4,1006.8,10,5,4,4,544,Champions,0
2,679.45,18,4,2,3,423,New  Customers,0
2,1269.1,66,3,2,4,324,Lost Customers,1
2,534.24,73,2,2,3,223,Lost Customers,1
7,3809.8900000000003,4,5,5,5,555,Champions,0
1,196.89,1,5,1,1,511,New  Customers,0
7,3408.06,13,4,5,5,455,Champions,0
1,283.71,254,1,1,2,112,Lost Customers,1
1,296.64,91,2,1,2,212,Lost Customers,1
3,1129.14,22,4,3,4,434,Loyal Customers,0
6,3534.69,16,4,5,5,455,Champions,0
1,291.88,23,4,1,2,412,New  Customers,0
6,2043.7199999999998,26,4,5,4,454,Champions,0
5,2898.2599999999998,25,4,4,5,445,Champions,0
2,590.0,258,1,2,3,123,Lost Customers,1
2,356.97999999999996,165,2,2,2,222,Lost Customers,1
2,1058.34,24,4,2,4,424,New  Customers,0
6,1766.72,17,4,5,4,454,Champions,0
14,9646.57,6,5,5,5,555,Champions,0
2,183.44,28,4,2,1,421,New  Customers,0
3,1445.0,38,3,3,4,334,Loyal Customers,0
1,151.5,252,1,1,1,111,Lost Customers,1
1,674.68,57,3,1,3,313,Lost Customers,1
1,307.9,183,1,1,2,112,Lost Customers,1
2,1071.91,10,5,2,4,524,New  Customers,0
37,5704.97,1,5,5,5,555,Champions,0
2,165.0,98,2,2,1,221,Lost Customers,1
4,2501.84,0,5,4,5,545,Champions,0
2,422.64,60,3,2,2,322,Lost Customers,1
1,226.84,235,1,1,1,111,Lost Customers,1
4,1431.78,190,1,4,4,144,At Risk,0
2,1238.47,178,2,2,4,224,Lost Customers,1
6,1454.58,37,3,5,4,354,Loyal Customers,0
2,300.95,200,1,2,2,122,Lost Customers,1
5,1804.56,45,3,4,4,344,Loyal Customers,0
1,184.64,231,1,1,1,111,Lost Customers,1
1,140.34,65,3,1,1,311,Lost Customers,1
1,313.8,240,1,1,2,112,Lost Customers,1
1,454.24,232,1,1,2,112,Lost Customers,1
3,1122.41,77,2,3,4,234,At Risk,0
3,575.4,57,3,3,3,333,Loyal Customers,0
13,8968.31,16,4,5,5,455,Champions,0
4,449.52,104,2,4,2,242,At Risk,0
10,1215.82,51,3,5,4,354,Loyal Customers,0
3,1269.84,135,2,3,4,234,At Risk,0
2,618.63,274,1,2,3,123,Lost Customers,1
1,316.26000000000005,311,1,1,2,112,Lost Customers,1
5,2044.8700000000001,7,5,4,4,544,Champions,0
2,653.33,10,5,2,3,523,New  Customers,0
2,348.05,282,1,2,2,122,Lost Customers,1
5,1159.11,17,4,4,4,444,Champions,0
3,1166.77,22,4,3,4,434,Loyal Customers,0
1,1340.32,287,1,1,4,114,Lost Customers,1
3,292.0,16,4,3,2,432,Loyal Customers,0
1,216.85,70,3,1,1,311,Lost Customers,1
1,295.93,63,3,1,2,312,Lost Customers,1
4,4393.63,72,2,4,5,245,At Risk,0
2,458.52,315,1,2,2,122,Lost Customers,1
4,2479.16,2,5,4,5,545,Champions,0
1,110.97,243,1,1,1,111,Lost Customers,1
7,979.72,8,5,5,4,554,Champions,0
4,1791.56,0,5,4,4,544,Champions,0
1,251.21,260,1,1,2,112,Lost Customers,1
1,205.1,126,2,1,1,211,Lost Customers,1
1,152.20000000000002,73,2,1,1,211,Lost Customers,1
4,891.12,72,2,4,3,243,At Risk,0
3,1389.41,20,4,3,4,434,Loyal Customers,0
3,2128.42,59,3,3,5,335,Loyal Customers,0
1,627.16,85,2,1,3,213,Lost Customers,1
1,122.75,77,2,1,1,211,Lost Customers,1
6,3624.35,58,3,5,5,355,Loyal Customers,0
3,1071.73,0,5,3,4,534,Loyal Customers,0
1,125.80000000000001,29,4,1,1,411,New  Customers,0
5,3964.88,32,4,4,5,445,Champions,0
5,680.1800000000001,40,3,4,3,343,Loyal Customers,0
2,628.78,14,4,2,3,423,New  Customers,0
7,2242.36,33,3,5,5,355,Loyal Customers,0
2,307.76,78,2,2,2,222,Lost Customers,1
2,483.8,204,1,2,2,122,Lost Customers,1
1,210.31,33,3,1,1,311,Lost Customers,1
3,269.09,182,1,3,2,132,At Risk,0
25,5870.08,1,5,5,5,555,Champions,0
7,3444.39,0,5,5,5,555,Champions,0
7,1280.85,42,3,5,4,354,Loyal Customers,0
3,631.34,85,2,3,3,233,At Risk,0
2,276.06,39,3,2,2,322,Lost Customers,1
3,621.09,11,5,3,3,533,Loyal Customers,0
2,678.16,95,2,2,3,223,Lost Customers,1
7,918.2,25,4,5,3,453,Loyal Customers,0
1,91.80000000000001,318,1,1,1,111,Lost Customers,1
12,3740.07,65,3,5,5,355,Loyal Customers,0
4,4098.88,73,2,4,5,245,At Risk,0
2,584.06,27,4,2,3,423,New  Customers,0
4,594.52,5,5,4,3,543,Loyal Customers,0
1,171.42000000000002,6,5,1,1,511,New  Customers,0
1,141.85999999999999,215,1,1,1,111,Lost Customers,1
3,1799.33,81,2,3,4,234,At Risk,0
2,777.53,83,2,2,3,223,Lost Customers,1
3,1724.67,143,2,3,4,234,At Risk,0
2,240.22,18,4,2,1,421,New  Customers,0
2,856.84,40,3,2,3,323,Lost Customers,1
1,187.05,172,2,1,1,211,Lost Customers,1
2,338.62,16,4,2,2,422,New  Customers,0
1,239.49,242,1,1,1,111,Lost Customers,1
12,2088.94,12,5,5,5,555,Champions,0
1,1384.25,205,1,1,4,114,Lost Customers,1
2,290.25,49,3,2,2,322,Lost Customers,1
5,732.0699999999999,22,4,4,3,443,Loyal Customers,0
18,6717.34,9,5,5,5,555,Champions,0
4,1687.6000000000001,24,4,4,4,444,Champions,0
2,467.04,14,4,2,2,422,New  Customers,0
1,118.0,308,1,1,1,111,Lost Customers,1
1,781.03,155,2,1,3,213,Lost Customers,1
1,142.4,306,1,1,1,111,Lost Customers,1
1,712.4,63,3,1,3,313,Lost Customers,1
9,2478.95,15,4,5,5,455,Champions,0
2,379.65,14,4,2,2,422,New  Customers,0
6,1981.92,10,5,5,4,554,Champions,0
3,1117.13,64,3,3,4,334,Loyal Customers,0
4,247.95999999999998,35,3,4,1,341,Loyal Customers,0
5,2011.88,107,2,4,4,244,At Risk,0
1,396.97,52,3,1,2,312,Lost Customers,1
2,664.11,5,5,2,3,523,New  Customers,0
1,160.04,46,3,1,1,311,Lost Customers,1
21,5149.92,0,5,5,5,555,Champions,0
1,219.52,311,1,1,1,111,Lost Customers,1
2,693.32,44,3,2,3,323,Lost Customers,1
1,428.89,64,3,1,2,312,Lost Customers,1
1,164.34,25,4,1,1,411,New  Customers,0
3,276.75,28,4,3,2,432,Loyal Customers,0
1,675.51,39,3,1,3,313,Lost Customers,1
7,1082.33,11,5,5,4,554,Champions,0
3,1154.4,88,2,3,4,234,At Risk,0
4,1585.46,23,4,4,4,444,Champions,0
1,417.69,318,1,1,2,112,Lost Customers,1
3,544.18,39,3,3,3,333,Loyal Customers,0
1,177.34,173,2,1,1,211,Lost Customers,1
1,213.85,116,2,1,1,211,Lost Customers,1
5,727.74,30,4,4,3,443,Loyal Customers,0
1,257.23,252,1,1,2,112,Lost Customers,1
5,1638.47,58,3,4,4,344,Loyal Customers,0
11,7792.36,22,4,5,5,455,Champions,0
7,2031.78,4,5,5,4,554,Champions,0
11,3070.42,99,2,5,5,255,At Risk,0
5,2118.93,24,4,4,5,445,Champions,0
5,1547.3600000000001,32,4,4,4,444,Champions,0
1,1071.03,67,3,1,4,314,Lost Customers,1
5,949.12,36,3,4,4,344,Loyal Customers,0
3,804.3,51,3,3,3,333,Loyal Customers,0
1,122.64,15,4,1,1,411,New  Customers,0
1,1033.34,73,2,1,4,214,Lost Customers,1
1,312.28,215,1,1,2,112,Lost Customers,1
3,519.44,30,4,3,3,433,Loyal Customers,0
4,2624.26,15,4,4,5,445,Champions,0
1,252.1,119,2,1,2,212,Lost Customers,1
4,1648.1200000000001,9,5,4,4,544,Champions,0
2,346.6,256,1,2,2,122,Lost Customers,1
6,1836.34,16,4,5,4,454,Champions,0
2,94.2,34,3,2,1,321,Lost Customers,1
3,1095.08,45,3,3,4,334,Loyal Customers,0
6,2707.33,42,3,5,5,355,Loyal Customers,0
2,932.97,113,2,2,3,223,Lost Customers,1
2,379.65,164,2,2,2,222,Lost Customers,1
2,382.14,10,5,2,2,522,New  Customers,0
5,2639.17,9,5,4,5,545,Champions,0
2,1563.0,205,1,2,4,124,Lost Customers,1
3,881.26,85,2,3,3,233,At Risk,0
1,189.47,178,2,1,1,211,Lost Customers,1
3,84.65,59,3,3,1,331,Loyal Customers,0
1,299.05,148,2,1,2,212,Lost Customers,1
21,6309.83,2,5,5,5,555,Champions,0
2,218.55,50,3,2,1,321,Lost Customers,1
1,349.7,74,2,1,2,212,Lost Customers,1
2,186.39000000000001,300,1,2,1,121,Lost Customers,1
2,387.44,18,4,2,2,422,New  Customers,0
2,486.82000000000005,150,2,2,2,222,Lost Customers,1
1,232.6,151,2,1,1,211,Lost Customers,1
4,3719.12,0,5,4,5,545,Champions,0
4,827.83,17,4,4,3,443,Loyal Customers,0
1,59.5,186,1,1,1,111,Lost Customers,1
1,65.13,285,1,1,1,111,Lost Customers,1
7,3119.44,2,5,5,5,555,Champions,0
1,72.0,182,1,1,1,111,Lost Customers,1
1,910.0,62,3,1,3,313,Lost Customers,1
1,172.25,58,3,1,1,311,Lost Customers,1
3,1488.32,24,4,3,4,434,Loyal Customers,0
50,65039.62,3,5,5,5,555,Champions,0
15,2504.13,30,4,5,5,455,Champions,0
1,151.29999999999998,38,3,1,1,311,Lost Customers,1
1,308.58000000000004,154,2,1,2,212,Lost Customers,1
10,2248.63,25,4,5,5,455,Champions,0
1,99.5,317,1,1,1,111,Lost Customers,1
9,2308.06,4,5,5,5,555,Champions,0
3,711.86,7,5,3,3,533,Loyal Customers,0
1,330.79,302,1,1,2,112,Lost Customers,1
2,806.41,266,1,2,3,123,Lost Customers,1
1,285.33,270,1,1,2,112,Lost Customers,1
13,6307.650000000001,3,5,5,5,555,Champions,0
1,180.48,31,4,1,1,411,New  Customers,0
2,252.06,218,1,2,2,122,Lost Customers,1
1,228.84,246,1,1,1,111,Lost Customers,1
5,1077.39,280,1,4,4,144,At Risk,0
1,138.28,268,1,1,1,111,Lost Customers,1
6,1445.01,31,4,5,4,454,Champions,0
2,306.55,245,1,2,2,122,Lost Customers,1
5,1041.68,14,4,4,4,444,Champions,0
4,799.9,116,2,4,3,243,At Risk,0
1,524.14,35,3,1,3,313,Lost Customers,1
3,2375.41,131,2,3,5,235,At Risk,0
1,199.85000000000002,216,1,1,1,111,Lost Customers,1
8,1980.56,49,3,5,4,354,Loyal Customers,0
2,1079.6599999999999,38,3,2,4,324,Lost Customers,1
2,333.48,28,4,2,2,422,New  Customers,0
6,1016.14,36,3,5,4,354,Loyal Customers,0
2,752.6,135,2,2,3,223,Lost Customers,1
2,610.59,218,1,2,3,123,Lost Customers,1
1,491.86,27,4,1,3,413,New  Customers,0
4,2883.54,24,4,4,5,445,Champions,0
2,729.8,4,5,2,3,523,New  Customers,0
1,339.59999999999997,199,1,1,2,112,Lost Customers,1
1,216.9,17,4,1,1,411,New  Customers,0
1,350.75,240,1,1,2,112,Lost Customers,1
3,668.4300000000001,71,3,3,3,333,Loyal Customers,0
12,3107.87,16,4,5,5,455,Champions,0
7,1341.6,2,5,5,4,554,Champions,0
2,1080.52,94,2,2,4,224,Lost Customers,1
1,300.04,161,2,1,2,212,Lost Customers,1
1,79.6,373,1,1,1,111,Lost Customers,1
5,948.25,95,2,4,4,244,At Risk,0
5,1647.26,53,3,4,4,344,Loyal Customers,0
1,296.25,287,1,1,2,112,Lost Customers,1
6,1175.38,123,2,5,4,254,At Risk,0
1,741.26,287,1,1,3,113,Lost Customers,1
2,282.59999999999997,151,2,2,2,222,Lost Customers,1
9,2108.06,3,5,5,5,555,Champions,0
14,5189.52,1,5,5,5,555,Champions,0
7,3190.55,11,5,5,5,555,Champions,0
2,659.4100000000001,32,4,2,3,423,New  Customers,0
2,286.79,53,3,2,2,322,Lost Customers,1
2,1070.65,49,3,2,4,324,Lost Customers,1
1,306.72,218,1,1,2,112,Lost Customers,1
1,1714.96,62,3,1,4,314,Lost Customers,1
3,1519.42,70,3,3,4,334,Loyal Customers,0
37,17220.36,1,5,5,5,555,Champions,0
10,2796.51,1,5,5,5,555,Champions,0
4,2634.45,63,3,4,5,345,Loyal Customers,0
3,1122.63,33,3,3,4,334,Loyal Customers,0
1,345.0,81,2,1,2,212,Lost Customers,1
33,25977.16,0,5,5,5,555,Champions,0
1,178.7,102,2,1,1,211,Lost Customers,1
2,360.01,6,5,2,2,522,New  Customers,0
1,127.84,250,1,1,1,111,Lost Customers,1
6,908.86,12,5,5,3,553,Loyal Customers,0
11,2462.79,9,5,5,5,555,Champions,0
1,230.39999999999998,366,1,1,1,111,Lost Customers,1
2,309.04,75,2,2,2,222,Lost Customers,1
1,348.8,3,5,1,2,512,New  Customers,0
2,1516.0,127,2,2,4,224,Lost Customers,1
2,195.55,65,3,2,1,321,Lost Customers,1
57,37153.85,0,5,5,5,555,Champions,0
2,688.86,116,2,2,3,223,Lost Customers,1
1,558.32,309,1,1,3,113,Lost Customers,1
1,324.8,66,3,1,2,312,Lost Customers,1
3,4599.42,138,2,3,5,235,At Risk,0
1,277.07,254,1,1,2,112,Lost Customers,1
7,2588.39,30,4,5,5,455,Champions,0
2,924.6,51,3,2,3,323,Lost Customers,1
1,256.38,63,3,1,2,312,Lost Customers,1
1,112.6,366,1,1,1,111,Lost Customers,1
5,1747.66,5,5,4,4,544,Champions,0
1,155.05,304,1,1,1,111,Lost Customers,1
3,1499.01,28,4,3,4,434,Loyal Customers,0
3,814.5,183,1,3,3,133,At Risk,0
3,539.0,41,3,3,3,333,Loyal Customers,0
4,1366.8600000000001,39,3,4,4,344,Loyal Customers,0
2,1579.12,91,2,2,4,224,Lost Customers,1
4,4027.36,21,4,4,5,445,Champions,0
2,571.6700000000001,23,4,2,3,423,New  Customers,0
2,382.98,28,4,2,2,422,New  Customers,0
3,1140.35,301,1,3,4,134,At Risk,0
2,385.64,144,2,2,2,222,Lost Customers,1
2,632.0,5,5,2,3,523,New  Customers,0
2,957.66,18,4,2,4,424,New  Customers,0
5,1698.94,32,4,4,4,444,Champions,0
1,189.5,175,2,1,1,211,Lost Customers,1
3,409.8,57,3,3,2,332,Loyal Customers,0
1,209.49,21,4,1,1,411,New  Customers,0
6,2198.45,15,4,5,5,455,Champions,0
1,52.199999999999996,18,4,1,1,411,New  Customers,0
1,383.85,158,2,1,2,212,Lost Customers,1
4,834.57,24,4,4,3,443,Loyal Customers,0
2,266.59000000000003,211,1,2,2,122,Lost Customers,1
4,674.82,5,5,4,3,543,Loyal Customers,0
1,85.0,252,1,1,1,111,Lost Customers,1
9,3385.62,58,3,5,5,355,Loyal Customers,0
1,361.62,10,5,1,2,512,New  Customers,0
1,312.98,64,3,1,2,312,Lost Customers,1
3,865.0600000000001,24,4,3,3,433,Loyal Customers,0
3,1255.0,91,2,3,4,234,At Risk,0
